ReviewKey,UserKey,SystemKey,OwnerKey,CycleDateKey,ReviewCompletedDateKey,ReviewStatus,DaysOutstanding,IsOrphanedAccount,HasSoDConflict
1,1,10,1,20240701,20240803.0,Completed,33,False,False
2,1,10,1,20241001,20241012.0,Completed,11,False,False
3,1,10,1,20250101,20250131.0,Completed,30,False,False
4,1,10,1,20250401,20250409.0,Completed,8,False,False
5,1,10,1,20250701,20250806.0,Completed,36,False,False
6,1,10,1,20251001,20251005.0,Completed,4,False,False
7,1,6,1,20240701,20240707.0,Completed,6,False,False
8,1,6,1,20241001,20241108.0,Completed,38,False,False
9,1,6,1,20250101,20250104.0,Completed,3,False,False
10,1,6,1,20250401,20250418.0,Completed,17,False,False
11,1,6,1,20250701,20250719.0,Completed,18,False,False
12,1,6,1,20251001,20251021.0,Completed,20,False,False
13,2,10,1,20240701,20240703.0,Completed,2,False,False
14,2,10,1,20241001,20241011.0,Completed,10,False,False
15,2,10,1,20250101,20250105.0,Completed,4,False,False
16,2,10,1,20250401,20250417.0,Completed,16,False,False
17,2,10,1,20250701,20250704.0,Completed,3,False,False
18,2,10,1,20251001,20251006.0,Completed,5,False,False
19,2,10,1,20260101,20260124.0,Completed,23,False,False
20,2,10,1,20260401,20260410.0,Completed,9,False,False
21,2,10,1,20260701,20260803.0,Completed,33,False,False
22,2,6,1,20240701,20240722.0,Completed,21,False,False
23,2,6,1,20241001,20241012.0,Completed,11,False,False
24,2,6,1,20250101,20250127.0,Completed,26,False,False
25,2,6,1,20250401,20250413.0,Completed,12,False,False
26,2,6,1,20250701,20250723.0,Completed,22,False,False
27,2,6,1,20251001,20251008.0,Completed,7,False,False
28,2,6,1,20260101,20260128.0,Completed,27,False,False
29,2,6,1,20260401,20260404.0,Completed,3,False,False
30,2,6,1,20260701,20260706.0,Completed,5,False,False
31,3,4,1,20240701,20240707.0,Completed,6,False,False
32,3,4,1,20241001,20241009.0,Completed,8,False,False
33,3,4,1,20250101,20250118.0,Completed,17,False,False
34,3,4,1,20250401,20250414.0,Completed,13,False,False
35,3,4,1,20250701,20250723.0,Completed,22,False,False
36,3,4,1,20251001,20251030.0,Completed,29,False,False
37,3,4,1,20260101,20260104.0,Completed,3,False,False
38,3,4,1,20260401,20260503.0,Completed,32,False,False
39,3,4,1,20260701,20260712.0,Completed,11,False,False
40,3,2,1,20240701,20240921.0,Completed,82,False,False
41,3,2,1,20241001,20241015.0,Completed,14,False,False
42,3,2,1,20250101,20250105.0,Completed,4,False,False
43,3,2,1,20250401,20250513.0,Completed,42,False,False
44,3,2,1,20250701,20250810.0,Completed,40,False,False
45,3,2,1,20251001,20251011.0,Completed,10,False,False
46,3,2,1,20260101,20260112.0,Completed,11,False,False
47,3,2,1,20260401,20260518.0,Completed,47,False,False
48,3,2,1,20260701,20260805.0,Completed,35,False,False
49,3,8,1,20240701,20240711.0,Completed,10,False,False
50,3,8,1,20241001,20241020.0,Completed,19,False,False
51,3,8,1,20250101,20250117.0,Completed,16,False,False
52,3,8,1,20250401,20250407.0,Completed,6,False,False
53,3,8,1,20250701,20250726.0,Completed,25,False,False
54,3,8,1,20251001,20251023.0,Completed,22,False,False
55,3,8,1,20260101,20260115.0,Completed,14,False,False
56,3,8,1,20260401,20260425.0,Completed,24,False,False
57,3,8,1,20260701,20260814.0,Completed,44,False,False
58,4,8,1,20240701,20240707.0,Completed,6,False,False
59,4,8,1,20241001,20241012.0,Completed,11,False,False
60,4,9,1,20240701,20240712.0,Completed,11,False,False
61,4,9,1,20241001,20241024.0,Completed,23,False,False
62,4,4,1,20240701,20240709.0,Completed,8,False,False
63,4,4,1,20241001,20241023.0,Completed,22,False,False
64,5,6,1,20240701,20240710.0,Completed,9,False,False
65,5,6,1,20241001,20241006.0,Completed,5,False,False
66,5,6,1,20250101,20250115.0,Completed,14,False,False
67,5,6,1,20250401,20250410.0,Completed,9,False,False
68,5,6,1,20250701,20250716.0,Completed,15,False,False
69,5,6,1,20251001,20251019.0,Completed,18,False,False
70,5,6,1,20260101,20260104.0,Completed,3,False,False
71,5,6,1,20260401,20260411.0,Completed,10,False,False
72,5,6,1,20260701,20260715.0,Completed,14,False,False
73,6,8,1,20240701,20240725.0,Completed,24,False,False
74,6,8,1,20241001,20241023.0,Completed,22,False,False
75,6,8,1,20250101,20250108.0,Completed,7,False,False
